Time,1601 Garden St,Tweedy's,29th Street Ballroom,Palm Door,Palm Door Patio,Chess Club,Continental Club,End of an Ear,Global Stage @ Downright Austin Backyard,Downright,Güero's,Hotel Vegas,Hotel Vegas Patio,Volstead,Volstead,Seven Grand,Las Perlas,Low Down Lounge,Meanwhile Brewing,Pearl St Co-op,Radio/East,Scholz Garten,Shangri-La,Speakeasy,Swan Dive,Swan Dive Patio,The Courtyard ATX,The Lucky Duck,Valhalla,Venue 6,Webberville Food Truck Park,Zilker Brewing,6111 Hogan Ave,ABGB,Augustine,Moody Theater,Billboard Presents The Stage,Central Machine Works,Central Presbyterian Church,Elysium,Flamingo Cantina,Austin Marriott,Hilton Grand Ballroom (Salon HJK),Kingdom,Lefty’s Brick Bar,Mala Fama Rooftop,Mala Vida,Mohawk Outdoor,Neon Grotto,Neon Grotto Rooftop,Nivel @ Mala Fama,Rivian Electric Roadhouse,Riviere,Saxon Pub,Stubb’s,Taco n Maiz,The 13th Floor,The Liberty,Wanderlust Wine Co.,Waterloo Records,Yeti Flagship
5p,Samwoy (5),,,,,,,,,,,Atsuko Chiba,,,,,,,,Guyscrapers (5),,,,,,,Lindsay Beaver,Slow Coast (5),,,The Citie (5),Soundcult (5),,Future Clouds & Radar (5),,,,,,,,,,,,,,,,,,,,,,,SKLOSS (5),,,The Animeros (5),Yng Naz (5:20)
5:30p,Forty Feet Tall (5:30),,,,,,,,,,INOHA (5:30),Bikini Beach,,,,,,,,,,,,,,,Jim Evans,,The Tullamarines (5:35),,,,,,,,,Night Cap (5:30),,,,,,,,,,,,,,,,,,,,,,,
6p,Gus Englehorn (6),,,,,,,,,,,Hot Garbage,,,,,,,DOSSEY (6),TV Buddha (6),,,,,,,Moving Panoramas,Bird (6),Mariae Cassandra (6:20),,Bershy (6),,,Jon Dee Graham & William Harries Graham (6),,,,,,,,,,,,,,,,,,,,,,,,,,,Susannah Joffe (6:10)
6:30p,Lazy Suzanne (6:30),,,,,,,,,,Pretoria (6:30),Hysteria,,,,,,,,,,,,,,,Quentin,,,,,,,,,,,Sun Room (6:35),,,,,,,,,,,,,,,,,,,,,,,
7p,CDSM (7),,,,,,,,REJAY (7),,,OOZ (7),The Violet Mindfield (7:15),Jonny Tex (7),,,,Fish Hunt (7),Grrrl Gang (7),The Dutch Kills (7),,,,,,,Smooth Nature,Rifka (7),,someshiit (7),,,,Elijah Ford (7),,,,,,,,,,,,,,,,,DJ Tony Neal (7),,DJ Grip (7),,,,,Semihelix (7),,,
7:30p,Al Lover (7:30),,,,,,,,GOKUMON (7:50),,Trashy Annie (7:30),Pink Breath of Heaven,je’Texas (7:45),Secret Family (7:50),,,Lovpune (7:50),,,,,,bloodsports (7:30),,,,Stella Prince,,,,,Isak Thomas and The Stoop Boys (7:30),,,,Linea Personal (7:45),,Susannah Joffe (7:40),Georgia Webster (7:30),,DJ Anupi (7:30),,,,Confucius & Fresh (7:45),,,,,,,,Yung Al (7:30),,,,,,,,
8p,Dan Melchior (8),Annabelle Chairlegs (8),,,FEET (8),Zastava (8),Creature Canyon (8),,,,Sixteen Deluxe (8:20),PONS (8),Sun Atlas (7:45),,,Mariae Cassandra (8),,Big Fat Head (8),,Pons (8),,,Pink Breath of Heaven (8:20),Aiko (8),Fine Food Market (8:15),Sarah Crean (8),Sum Sun,Broken Colours (8),Wilby (8),Our Shame (8),Social Cig (8),BARTLY (8:20),,Big Violet (8),PSH (Peneři Strýčka Homeboye) (8),,,Luke Tyler Shelton (8:20),Chase McDaniel (8),Lane Smith (8),bollyflow (7:45),,,JUSTAGURL (8),Faaris (7:55),,DJ Dirty Dave (8),,,Randy Perez (8),Core DJ's Worldwide (8),,Mac-K the K Baby (7:45),Buddy Red (8),Blood In The Water (8),ALANN (8),Glass Mansions (8),Tender Wolf (8),Andrew Hypes (8),,
8:30p,Petra Von Kan't (8:30),,,Amie Blu (8:40),Kofi Stone (8:35),,,,BANSHIMOKU (8:40),,,Kali Horse,STRANGE LOT (8:30),,,Chiara Savasta (8:50),Meg Elsier (8:40),,,,,,,,,,Turbo Goth,,Swapmeet (8:45),,,,,,,Clave Especial (8:35),,,Ingrid Andress (8),,Akshara (8:15),,,,Foolish Ty (8:10),,,,,,,,Lexi Gold (8:05),,,Donye Kimal (8:15),,,Perri Jones (8:45),,
9p,Die Mart (9),,,,,Honey I'm Home (9),THEBROSFRESH (9),,,,,Hot Garbage (9),,,,,,Blanky (9),,Comet (9),,,,Alina Pash (9),Hanorah (9:15),Basht. (9),,Korda Korder (9),,Modern Cinema Master (9),Famous Friend (9),amri (9:10),,Jon Langford (9),Redzed (9),,,,Tiera Kennedy (8),Devon Gabriella (9),REHMA (8:55),,,SMITTY (9),LouieV T (8:25),,,,,,,,Midas Well (8:15),Olivia Ellen Lloyd (9),,Chanté (8:30),Subpar Snatch (9),Gus Englehorn (9),Donovan (9:10),,
9:30p,Dan Patrevito (9:30),,,,,,,,Enfants (9:30),,,Ancient Greece,,Sunshine Spazz (9:30),,better joy (9:40),Avery Cochrane (9:40),,,,,,Cure for Paranoia (9:30),,,,,,Cashier (9:30),,,,,,,Chino Pacas (9:35),,Flying Mojito Bros (9:30),Wyatt Flores (8),,NAADI (9),,,,Los Kemet (8:35),,,,,Dramos (9:30),,,LilJayFromDaO (8:40),,,Z-Wells (8:45),,,Gavin Copeland (9:35),,
10p,,,,Sofia and the Antoinettes (10),,Good Flying Birds (10),Next of Kin (10),,FINLANDS (10:20),,,Bikini Beach (10),Tropa Magica (10),,,,,Nug (10),,,,,Whitelands (10:20),The Dharma Chain (10),SAMWOY (10:15),Sugabooo (10),,The Kellows (10),,Flesh Juicer (10),The Opera (10),Victor Jones (10),,Wild Seeds (10),,,,,,PIAO (10),Shreea Kaul (9:40),,,Neo Fonseca (10),Projectbabyjv (8:40),,DJ EXILE (10),,,,,,Gavin Copeland (9:15),Nicky Diamonds (10),Jack Johnson (10),Slow Spread Love (9:15),CorMae (10),Wild Heaven (10),,,
10:30p,,,,,Werkha (10:40),,,,,,,Foliage,,,,Boutique Feelings (10:30),Olivia Morreale (10:40),,,,,,,,,,,,Montclair (10:30),,,Deloyd Elze (10:50),,,,Fuerza Regida (10:55),,,,,,,,,Blakchyl (8:50),,,,Casmalia (10:30),,,,Clova (9:35),,,Kris CaMeRon (9:30),,,LIFEOFTHOM (10:30),,
11p,,,,Tom A Smith (11:20),,Glaze (11),Good Looks (11),,ISCREAM NEVER GROUND (11:10),,,Semisoft (11),,Seulement (11:10),,ARXX (11:20),,Kids (11),,,,,The Sophs (11:10),Nilipek. (11),SLASH NEED (11:15),Moio (11),,,,Pei-Yu Hung (11),,,,Waco Brothers (11),,,,,,Switchfoot (11),KOAD (11:05),,,Kai Castro (11:15),Anastasia Hera (9:05),,,,,DR. GRECO (11),,,Sertified (9:35),Marley Hale (11),,AJ McQueen (9:45),Lola Tried (11),The Midnight Papers (11),Armanii (11),,
11:30p,,,,,,,,,,,,Boutique Feelings,,,,,Anna Shoemaker (11:40),,,,,,,,,,,,Grrrl Gang (11:30),,,Mên An Tol (11:40),,,,,,,,,Karma Sheen (11:20),,,,Kydd Jones (9:40),,,,,,,,TTOD Bumpy Johnson (10:40),,,,,,Kazi (11:30),,
12a,,,,,Panic Shack (12),Packaging (12),,,,,,Lauren Lakis (12),,Boutique Feelings (12),,60 JUNO (12:10),,Cheap Perfume (12),,,,,Samy Sharif (12),,Sunforger (12:15),Bricknasty (12),,,Radium Dolls (12:15),Sorry Youth (12),,,,,,,,,,,Leo Kalyan (12:15),,,,J Soulja (10:25),,Gabby Got It (12),,,,,,Wacotron (11),The Red Eye Gamblers (12),,,Grocery Bag (12),Bad Acid (12),,,
12:30a,,,,,,,,,,,,Seulement,AL LOVER (12:30),CDSM (12:50),,,,,,,,,Sex Mask (12:50),,,,,,,,,,,,,,,,,,,,,SILVA BUMPA (12:45),,,,,,Jenna Shaw (12:30),,,Stiff Barbie (11:50),,,,,,,,
1a,,,,,,ICHIGORINAHAMU (1),,,,,,Atsuko Chiba (1),,,,,,,,,,,,,,YARD (1),,,Haters (1),,,,,,,,,,,Winona Fighter (1),SRI (1),,,,,,,,,,,,Quiet Money Dot (12:30),West Texas Exiles (1),,,MUGGER (1),Balaclava (1),,,
1:30a,,,,,,,,,,,,Walkabouts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
