9p,Major Luna,,Gwenno (9:20),,Mission (8:45),,Danxgerous (9),,Gus Baldwin & the Sketch,,NOAMZ (9:10),Gran Moreno (9),Bikini Beach (9),,,Grace Bergere (9:15),,,,Chuck Prophet and His Cumbia Shoes (9:15),Wavy Saleen (8:15),Turbo Goth (7),Dallas Tetnus (9),,,,,,Elijah Delgado (9),Calder Allen (9),,Boooka (9),Jeff Akoh (8:25),,Boogietraxx (9),The Cumbia Movement (9),Dee Gatti (8:40),Lola Kinsey (8:30),,La Texana (9),OKAN (9),Shame Gang (8:35),Lila Tristram (9),,Tomar and the FCs (9:15)
9:30p,,,,,Parris Chariz (9:05),,,Electric Enemy (9:40),Prehuman,,,,,Korda Korder (9:40),,,Gogol Bordello (9:45),,Panam (9:30),,xBValentine (8:45),Municipal Bats (7),,,,,Alkyone (9:35),Lola Young (9:55),,,Philo (9:30),Yoso (9:20),JayaHadADream (8:45),,,,Lexaay (9),Anton The Artist (8:45),The Reverent Few (9:40),,,Zavi (8:50),,,
10p,,,,congratulations (10),Canon (9:25),,Oscar Twins (10),,J’cuuzi,,HNRY FLWR (10),Big Bill (10),Alien Chicks (10),,,,,,Tipa Tipo (10:20),Victor Jones (10:15),Valice (9:25),,Mr. Lewis & The Funeral 5 (10),,,,Aiko (10:20),,Holly Macve (10),The Red Eye Gamblers (10),Mars Gold (10:15),Shaunsolo (9:40),Big Zeeks (9:20),,Shiv (10),Los Juanos (10),Anaya Kobe (9:45),Rockstar Keezy (9),,The All-American Rejects (10),The Sophs (10),,néomí (10),,Grandmaster (10)
10:30p,,,The Haunted Youth (10:40),,Marty (9:45),,,His Lordship (10:30),,,Glassio (10:50),,,willoh (10:30),,,,,,,Steve Ray Ladson (9:40),,,,,,,,,,,DJ Napalm (10),Kofi Stone (9:45),,,,Brionne (10:25),Saanbluu (9:15),,,,,,,
11p,,,,Bricknasty (11:20),Don Ready (10:05),,Lofi Legs (11),Samy Sharif (11:20),,,,,Neapolitan (11),PIAO (11:20),,,,,Sultanes del Yonke (11:20),Cardinal Bloom (11:15),Blimes and the Bando (10:05),,NIGHT DRIVE (11),,,,,,Eric McEntee (11),Olivia Ellen Lloyd (11),,Yung Bryse (10),Novelist (10:10),,XOY (11),Sencible de Tierra Caliente (11),Alahsîn (10:40),PRINCE YODA YASQUIAT (9:35),Julie Nolen (11:20),,Angela Autumn (11),Fuego Base (11:20),Ella Ion (11),,
11:30p,,,,,Derek Minor (10:30),,,,,,DD Island (11:40),,,,,,,,,,Cure for Paranoia (11),,,,,,,,,,,Ali Almighty (10:15),Kairo Keyz (10:45),,,,Booqoo (11:15),MISTA KLEEN (9:55),,,,Rick Hyde (11:30),,,
12a,,,Sassy 009 (12),,indie tribe (10:55),,Firecracker (12),Lucky (12:10),,,,,Agatha is Dead! (12),Adult Leisure (12),,,,,,Wilby (12:15),Mama Duke (11:30),,"Yes Sir, No Sir. (12)",,,,,,,Reilly Downes (12),,Bale (11:45),Walshy Fire (11:15),,Orya (12),Eric Sebastian (12),Lynn (11:15),D2BLEE (10:15),Honey Made (12),,The Animeros (12),Benny The Butcher (12:15),,,
12:30a,,,,,Holy Gabbana (11:30),,,,,,,,,,,,,,,,J. Dash (12),,,,,,,,,,,,,,,,,H (10:35),,,,,,,
1a,,,,,DJ Trendsetter Sense + Trendsetter Cypher (12),,Secret Family (1),The Braymores (1),,,,,,,,,,,,,,,Peelander-Z (1),,,,,,,,,,,,DragonnQueen (1),Escoltas Del Valle (1),,Jamison Wray (11),,,The Tremolo Beer Gut (1),,,,
1:30a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GMSE KING SAVAGE (11:20),,,,,,,
