7:30p,Honey I'm Home,Blanky,Stealth Archer,,,,Jazz re:freshed DJs (7:30),,Sugabooo (7:50),,,,lucky break (7:50),,Worlds Worst (7:45),,Lucky Brek (7:50),,VÕ.A 2000 (7:45),,,,,,,,Vinilious DJ (7:05),,,,,,Mika Häkki & Dark Yonder (7:30),Saige Davis (7:30),Amnesia,,runo plum (7:50),,,,,,,,,,Big Bill,,,,,TALK (7:30),,J Soulja (7:30),,,DDA TINK (7:30)
8p,Balaclava,Touch Girl Apple Blossom,,Saint Harison (8),,Pedro TQM (8),Zola Marcelle (8),,,,,,,,,Grrrl Gang (8),Grrrl Gang (8),Jamaica Moana (8),,Honey I'm Home (8),,,Aitchdub (8),Dr Dak (8),,Queen Serene (8),Javiera Electra (8),,,The Family Battenberg (8),Blair Davie (8:20),Mên An Tol (8),RAKEL (8:15),Luke Tyler Shelton (8),,,,Casie Farrell (8),ASHMAR. (8),Somebody Someone (8),Kanho Yakushiji (8),Joe with the Notes (8),deCasa (8),,DJ Kay Cali (8),,Porcelain,Pirscription (8),Woes (8),,,In Color (8:20),Carissa Cruz (8:20),,Victor Jones (8),,Ifeanyi Elswith (7:45)
8:30p,Victoryland,Last Days of Disco,,,MT Jones (8:40),,,,someshiit (8:40),,,,60 JUNO (8:50),,Fleshripper (8:30),,60 Juno (8:50),,Zoe Tan (8:55),,,,,,,,,,,Ben Ellis (8:50),,,,Timmy Skelly (8:40),,,Avanti Patel (8:40),,Boogietraxx (8),,,Happy Phantom (8:45),,,Mai Anna (8:15),,Tear Dungeon,Sonny Vercettie (8:15),Bijaan (8:30),,,,Pierce Washington (8:40),,,,Killakmadeinbrooklyn (8)
9p,Hot Garbage,TV Buddha,,ARXX (9:20),,Xuco Baby (9),Amy Gadiaga (9),,,,,,,Marissa Nadler (9),SLASH NEED (9:15),Marissa Nadler (9),,Little Guilt (9),,Chatterton (9),,,,,,Balaclava (9),Valsian (9),,,,YES AND MAYBE (9:20),KING NO-ONE (9),Sūn Byrd (9),,,,,Trey Kams (9),Hot Donna (9),BettySoo (9),YAMORI (9),,Short Life (9),,Tamera King (8:35),,,Ace Park (8:30),Jade Omari (9:10),,,Dylan Gossett (9:05),,,Montclair (9),2BYG (9),Niiasii (8:15)
9:30p,Nug,Parking,,,,,,,t-low (9:30),,,,Haylie Davis (9:50),,,,Haylie Davis (9:50),,,,,,Synchrolyst (9:30),Michael The Lion (9:30),,,,Miss Bashful (9:30),,Gwenno (9:40),,,Pär Hagström and Charlatans of Love (9:45),,,,Alkyone (9:30),,,,Jairo (9:50),Weird Wolves (9:30),,,JeRonelle (8:55),,,TTG HUNCHO (8:55),KAGE (9:30),,,,Alex Irish (9:30),,,,Kayanne Peppa (8:30)
10p,Forty Feet Tall,Good Flying Birds,,,JayaHadADream (10),BULLETBALLET (10),Knats (10),,Firecracker (10:20),,,,,Babybaby_explores (10),Sheer Mag (10),,,Ella Ion (10),ZAMAERA (10:15),The Tremolo Beer Gut (10),,,,,,Paisley Fields (10),Marilina Bertoldi (10),,,,Azamiah (10:20),Hemi Hemingway (10),,Sun Room (10),,,Hania Derej (10:20),Yndent (10),Brandon Blue (10),Dylan LeBlanc (10),,Death of the Last Beautiful Jaguar (10:15),Vintage Jay (10),,Remey Williams (9:15),,,Baby Sam (9:10),Tia Tutt (10),,,The 502s (10:05),Luke Herbert (9:55),,The Bures Band (10),DJ Hella Yella (10),Mobeethicc (8:40)
10:30p,Drook,,,Nightbus (10:40),,,,,,,,,Gracie and Rachel (10:50),,The Spits (10:45),,Gracie & Rachel (10:50),,,,,,,,,,,,,Panic Shack (10:30),,,Spacestation (10:30),,,,,,,,ICHIGORINAHAMU (10:40),,,,Lee Vasi (9:35),,,Stockz (9:25),E.M.E (10:30),,,The Droptines (10:50),Alesia Lani (10:20),,,Jastin Martin (10:30),Amber Jaii (9:10)
11p,,,,,Adult DVD (11:20),Nudo (11),Femi Temowo (11),,Redzed (11:10),,,,,Graham Reynolds (11),,Graham Reynolds (11),,The Tullamarines (11),Lil Asian Thiccie (11:05),Amor Vincit Omnia (11),,,Jadarrion (11),,,Upper Reality (11),La Texana (11),Luca Eck (11),,Hana Lili (11:20),,FEET (11),,,,,Hrishikesh Hirway (11:10),4NEY (11),JAKEGATEWOOD (11),Lew Apollo (11),,Dread Risks (11),,,Byron Juane (10),,,Yung Al (9:40),,,,,Gavin Copeland (10:45),,Cardinal Bloom (11),,Dyna Edyne (9:30)
11:30p,,,,,,,,,,,,,Jon Langford (Mekons) (11:50),,,,Jon Langford (11:50),,I-SKY (11:45),,,,,,,,,,,,Sam Scherdel (11:30),,,,,,,,,,The Game Shop (11:40),In a Darkened Room (11:45),,,GoGo Morrow (10:30),,,Lil Bri (9:55),indie tribe (11:40),,,Liam St. John (11:35),Coach Tev (11:05),,,,Ms. Ca$H (9:50)
12a,,,,CHALK (12),,San Charbel (12),Mackwood (12),,,,,,,Lucid Express (12),,,,Swapmeet (12),,Thelonious Love (12),,,,Boogietraxx (12),,,,,,SAMWOY (12:10),,Whitelands (12),,,,,,DJ Dan (12),Disko Cowboy (12),QUENTIN (12),,,,,2BYG (11),,,Doeman (10:40),,,,,Devy Stonez (11:25),,The Red Eye Gamblers (12),Bryan-Michael Cox (12),Miss GIRL6 (10:10)
12:30a,,,,,,,,,,,,,Spoon Benders (12:50),,,,Spoon Benders (12:50),,,,,,Dr Dak (12:30),,,,,,,,,,,,,,,,,,ISCREAM NEVER GROUND (12:40),,,,Zae France (11:30),,,Hashi Senjoo (10:55),,,,,,,,JayDon (12),MikMula (10:30)
1a,,,,,,Diles que no me maten (1),Werkha (1),,,,,,,Liz Cooper (1),,Liz Cooper (1),,2charm (1),,,,,,,,,,,,,,The Haunted Youth (1),,,,,,DJ BAD APPLE (1),,St.Augustine (1),,,,,KELS (12),,,Vickeelo (11:10),,,,,,,,,QUANNA (10:50)
1:30a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DJ Kay Cali (12:30),,,DJ X.O. (11:30),,,,,,,,,Jaxs (11:10)
