5:30p,Guyscrapers,,The Kellows,,,,,CDSM (5:30),,,,,,Dylan Earl (5:30),,Spoon Benders,,,Denim Haircut (5:45),,,,,,,,Tropa Magica,How Tragic,,,,,,,,,,,,Shelby Spector,,,,,,,Hermanos Espinoza (5:30),,,,,,Bikini Beach (5:40),,,,,,,,
6p,Blue Ribbon,,Korda Korder,,,,,,,,,,Forty Feet Tall (6),,,Balaclava,,,,,,,,,,Book Reports (6),Sun Room,Linnea's Garden,,,,Fime (6),,,,Cardinal Bloom (6),,,,The Omies,,,,,,,,,,,,,,Paisley Fields (6:10),,,,,,,
6:30p,,,Frankfurt Helmet,,,,,,,,,,,,,Zastava,,,,DAIISTAR (6:30),,,,,,,Sex Mask,Doak Hensley,,,,,,,,,,,,Tiny Specks,,,,,,,,,,,,,,,,,,,,,
7p,,,Honey I'm Home,,,Lucaa (7),,,Hemi Hemingway (7:15),,Hania Derej (7),,,,,Taraneh (7),,Almost Heaven (7:15),JunkBunny (7:15),,,,,Stalefish (7),,Plume Girl (7),,Bershy,,,,Waiting for August (7),,,,,,,,,Lauren Light (7),,,,,,,,Coffey (7),,,Abstractamcr (7),,,,,,,,Raynes (7),
7:30p,,,Killer Kaya,,,,,,,Posavant (7:30),Zola Marcelle (7:50),,,,,The Owling,Flesh Juicer (7:30),,,,,,Still Blank (7:30),,,,,Multimagic,,,,David Shabani (7),,,,,,,XRAREST (7:40),,,,,Camila Rivers (7:30),,,,,DragonnQueen (7),,,Ryan Dove (7:45),,,,,Prissy P (7:30),,,,Nik Parr & The Selfless Lovers (7:30)
8p,,,Danxgerous,better joy (8),,Horsepower (8),,Melaina Kol (8),The Tiarras (8:05),A Wordless Orange (8:20),,,,,60 Juno,Bricknasty (8),,Haters (8:15),,,,Adult Leisure (8),,Easy Honey (8),,Amelia's Best Friend (8),,Pons,Shunk (8),,Emily Frembgen (8),Foliage (8),Buckets (8),,Just Jim (8),,,,Scuttino (8),,,,,Maya Sampleton (8:05),Aivila (8),DannyRitmo (8),,,Yoshi Vintage (7:30),Brie Stoner (8),,Ryley Hall (8),,,Suxxy Puxxy (8),,Fatherr (8:20),,,,Desmond Jones (8:20)
8:30p,,,Kali Horse,,Grandmas House (8:40),,,Total Wife (8:55),,,Amor Vincit Omnia (8:40),,,,Lovpune,Radium Dolls,Alien Chicks (8:30),,,Elegant Tiger (8:45),,,Hector Gannet (8:30),,,,,,,Ancient Greece (8:30),Julia Blair (8:40),Juju B Goode (8),,The Opera (8:30),,,600 ENT (8:35),,Kofi Stone (8:20),,My Favorite Color (8:30),,,Gio (8:40),Mac-K the K Baby (8:15),,,,BLK ODYSSY (8),,,Ben Buck (8:15),,,Orya (8:30),,Leonilo Jaimes (8:40),,Synapson (8:30),,
9p,,Taraneh,Livermore,Mên An Tol (9:20),,Amy Gadiaga (9),,,Los Lobos (9),eldon (9:15),,,,,Magic Rockers of Texas,Fime (9),SLASH NEED (9:15),The Sheila Divine (9:15),,,c_robo_ (9),Lucky (9),,The Braymores (9),,Shallowater (9),,,Brainwasher (9),,Lee Bains (9:20),LCLS (9),Semisoft (9),Taraneh (9:15),Knats (9:20),,,,Aaron Page (8:45),,Jacquie (9:20),,,Mélat (9:15),Stiff Barbie (8:30),,,,DJ Hella Yella (8:45),Angela Autumn (9),,Isis Destiny (8:30),,,Martin Eyerer (9),,Andrea Daniela (9:05),,,,Azamiah (9:10)
9:30p,,Nervous,,,,,,Fish Hunt (9:50),,,Sarah Crean (9:30),,,,Of Grace,Spirit Ghost,,,,,,,Korda Korder (9:30),,,,,,,Kali Horse (9:30),,Seth Beamer (9),,,,,INK (9:35),,Dee Gatti (9:05),,,,,Chief Cleopatra (9:50),Young Tmo (9:20),DJ BAYRON (9:30),,,Trap Sushi (9:05),,,Ideal Collective (8:45),,,,,DW SANTY (9:30),,,,
10p,,Hexpartner,,,Steven Bamidele (10),Sassy 009 (10),,,The Bures Band (10:20),KID PHENOMENON (10:10),Lena Dardelet (10:20),,,,Pons,Commercial Breaks (10),haha Laughing (10),Endearments (10:15),,,SRI (10),Ben Ellis (10),,willoh (10),,Diles que No Me Maten (10),,,Seulement (10),,Paisley Fields (10:05),,Gus Englehorn (10),Almost Heaven (10),,,,,Grace Sorensen (9:25),,Sibby Liv (10),,,,TTOD Bumpy Johnson (9:40),,,,YUME (9:40),,,Die Slo (9:10),,,,Ella Langley (10),Kenzzo (9:50),,,,Eric Zayne (10)
10:30p,,Demitria,,Whitelands (10:40),,,,Wesley Wolffe (10:45),,,,,,,Spirit Ghost,,,,,,,,Tom A Smith (10:30),,,,,,,OOZ (10:30),David Huckfelt (10:50),,,,,,BigXthaPlug (10:55),,Lynn (9:45),,Olly Sholotan (10:10),,,Smooth Nature (10:30),,Don Esco (10:30),,,,,,Mid Century Modern (9:35),,,JOPLYN (10:30),,Vintage Jay (10:10),,,,The Animeros (10:50)
11p,,Sassy 009,,,TTSSFU (11:20),Amie Blu (11),,,The Last Jimenez (11:20),Magnolian (11:10),BrunOG (11:10),,,,Two-Man Giant Squid (11),Good Flying Birds (11),,Foliage (11:15),,,2charm (11),CQ Wrestling (11),,Marketplace (11),,Virginia Creeper (11),,,Boutique Feelings (11),,,,Kids (11),J’cuuzi (11),,,,,2BYG (10:30),,Neptune XXI (11),,,,DJ X.O. (11),,LOS GUITARRAZOS (11),,,Calder Allen (11),,SpaceGoonz (10),,,,Alanis Morissette (11),Adrian Activo (10:30),,,,
11:30p,,,,,,,,Cashier (11:35),,,,,,,The Sophs,,,,,,DJ_Dave (11:30),,The Kellows (11:30),,,,,,,Spoon Benders (11:30),Pär Hagström and Charlatans of Love (11:50),,,,,,,,2wnty4K (10:55),,Samy Sharif (11:50),,,,Qui (11:25),Sebaxxss (11:30),,,,,,College of Hip Hop Knowledge (10:25),,,,,Short Life (10:55),,Yuksek (11:30),,Femi Temowo (11:40)
12a,,,,,YES AND MAYBE (12),,,,,FINLANDS (12:10),,,,,TV Buddha,The Dharma Chain (12),Suxxy Puxxy (12),Packaging (12:15),,,,Basht. (12),,congratulations (12),,The Opera (12),,,Hot Garbage (12),,,,Nug (12),,,,,,Tyla Yaweh (10:55),,,,,,Quiet Money Dot (11:50),,,,,She Returns From War (12),,Tone Royal (11:15),,,ANJA SCHNEIDER (12),,Vanita Leo (11:20),,,,
12:30a,,,,,,,,bloodsports (12:30),,,,,,,,,,,,,Switch Angel (12:30),,Andrew Cushin (12:30),,,,,,,CDSM (12:30),,,,,,,,,Kaash Paige (11:30),,,,,,Lil' Keke (12:15),,,,,,,,,,,,EL DUSTY (11:50),,,,
1a,,,,,,,,Victoryland (1:25),,Frankfurt Helmet (1:10),,,,,,YARD (1),,Forty Feet Tall (1:15),,,,Nightbus (1),,,,Semiwestern (1),,,BALACLAVA (1),,Easy Honey (1),,Unsafe Space Garden (1),,,,,,,,,,,,,,,,,,,,,,,,Principe Q (12:35),,,,
1:30a,,,,,,,,,,,,,,,,,,,,,Kingdom DJs (1:30),,,,,,,,,,,,,,,,,,,,,,,,,DannyRitmo (1:30),,,,,,,,,,,EDDY (1:20),,,,
